Bandwidth (MB/s);Size (KBytes)
86.4;1
1858.9;513
1824.9;1025
2031.1;1537
2045.6;2049
2136.7;2561
2425.8;3073
2228.6;3585
2390.2;4097
2428.8;4609
2583.3;5121
2412.1;5633
2559.6;6145
2560.0;6657
2686.4;7169
2545.9;7681
2661.2;8193
2696.7;8705
2759.0;9217
2695.2;9729
2703.6;10241
2820.3;10753
2802.9;11265
2776.3;11777
2760.5;12289
2843.1;12801
2827.3;13313
2761.7;13825
2743.6;14337
2866.7;14849
2829.3;15361
2803.3;15873
2788.0;16385
2773.8;16897
2789.1;17409
2783.4;17921
2813.0;18433
2777.5;18945
2797.2;19457
2784.0;19969
2817.1;20481
2816.6;20993
2810.0;21505
2765.6;22017
2839.2;22529
2834.0;23041
2815.2;23553
2777.4;24065
2854.6;24577
2840.6;25089
2831.8;25601
2788.4;26113
2869.0;26625
2864.7;27137
2835.3;27649
2797.7;28161
2863.8;28673
2872.8;29185
2861.7;29697
2799.3;30209
2855.4;30721
2869.7;31233
2851.3;31745
2796.1;32257
2879.3;32769
2866.8;33281
2914.4;33793
2839.5;34305
2893.2;34817
2881.0;35329
2919.8;35841
2903.5;36353
2875.0;36865
2889.8;37377
2918.2;37889
2862.7;38401
2890.7;38913
2893.7;39425
2889.3;39937
2892.3;40449
2900.1;40961
2857.5;41473
2914.9;41985
2870.0;42497
2901.0;43009
2889.3;43521
2866.5;44033
2915.2;44545
2900.1;45057
2891.9;45569
2904.3;46081
2870.6;46593
2896.0;47105
2902.9;47617
2890.5;48129
2912.6;48641
2883.4;49153
2900.2;49665
2898.4;50177
2847.8;50689
2906.0;51201
2906.6;51713
2894.1;52225
2920.3;52737
2900.4;53249
2918.2;53761
2919.7;54273
2888.1;54785
2929.2;55297
2893.6;55809
2899.7;56321
2931.1;56833
2921.2;57345
2911.4;57857
2893.3;58369
2885.0;58881
2899.6;59393
2907.4;59905
2911.5;60417
2917.6;60929
2924.0;61441
2902.8;61953
2915.4;62465
2868.3;62977
2915.4;63489
