Bandwidth (MB/s);Size (KBytes)
362.4;1000
110835.5;513000
122789.1;1025000
123581.9;1537000
130503.0;2049000
134472.7;2561000
137096.0;3073000
139645.8;3585000
140649.7;4097000
142378.3;4609000
143878.2;5121000
144458.4;5633000
145091.3;6145000
145908.4;6657000
146331.7;7169000
146732.7;7681000
147289.0;8193000
147762.9;8705000
147723.6;9217000
148334.1;9729000
148629.4;10241000
148658.2;10753000
148987.2;11265000
149245.5;11777000
149179.8;12289000
149518.9;12801000
149733.9;13313000
149550.9;13825000
149936.8;14337000
150203.2;14849000
150017.0;15361000
150408.5;15873000
150584.4;16385000
150494.8;16897000
150611.1;17409000
150716.7;17921000
150822.6;18433000
150875.7;18945000
150945.2;19457000
151082.3;19969000
151031.9;20481000
151181.8;20993000
151267.2;21505000
151302.8;22017000
151546.9;22529000
151320.4;23041000
151499.2;23553000
151600.4;24065000
151412.7;24577000
151477.0;25089000
151772.7;25601000
151544.7;26113000
151747.2;26625000
151900.8;27137000
151635.0;27649000
151924.3;28161000
151905.8;28673000
151743.0;29185000
152004.4;29697000
151917.8;30209000
151944.9;30721000
152028.1;31233000
152094.4;31745000
152024.7;32257000
152098.2;32769000
152248.2;33281000
152217.4;33793000
152003.0;34305000
152262.1;34817000
152355.0;35329000
152055.5;35841000
152323.9;36353000
152358.5;36865000
152118.8;37377000
152434.0;37889000
152227.1;38401000
152377.4;38913000
152574.3;39425000
152329.5;39937000
152408.9;40449000
152495.8;40961000
152363.8;41473000
152521.6;41985000
152472.2;42497000
152490.4;43009000
152591.4;43521000
152471.9;44033000
152443.3;44545000
152577.7;45057000
152660.8;45569000
152650.0;46081000
152568.2;46593000
152631.6;47105000
152694.5;47617000
152583.9;48129000
152661.6;48641000
152748.7;49153000
152513.4;49665000
152901.0;50177000
152799.7;50689000
152473.2;51201000
152852.4;51713000
152830.0;52225000
152607.4;52737000
152829.7;53249000
152851.6;53761000
152650.5;54273000
152826.4;54785000
152732.2;55297000
152823.4;55809000
152748.6;56321000
152817.1;56833000
152913.2;57345000
152700.0;57857000
152855.0;58369000
152944.4;58881000
152623.2;59393000
152888.4;59905000
152790.2;60417000
152829.9;60929000
152932.0;61441000
152811.1;61953000
152820.9;62465000
153087.4;62977000
152798.5;63489000
